"id","title","description","link","source","published_at","fetched_at","keywords","confidence_score","created_at"
"62","More than half a million birds culled in German bird flu outbreak","More than half a million farm birds have been culled in Germany, authorities said Monday, as experts predicted it could result in a steep rise in egg prices for consumers.","https://www.thelocal.de/20251028/more-than-half-a-million-birds-culled-in-german-bird-flu-outbreak","The Local Germany","2025-10-28 07:47:03","2025-11-03 21:24:30.825751","[""outbreak"",""germany""]","12.63","2025-11-03 21:24:30.825751"
"63","Today in Germany: A roundup of the latest news on Tuesday","German business mood goes up slightly, rail disruption in Munich,  majority of women 'feel unsafe' in public spaces, half a million birds culled in bird flu outbreak and more news this Tuesday, October 28th.","https://www.thelocal.de/20251028/today-in-germany-a-roundup-of-the-latest-news-on-tuesday-96","The Local Germany","2025-10-28 07:10:20","2025-11-03 21:24:30.825751","[""outbreak"",""munich"",""germany""]","17.91","2025-11-03 21:24:30.825751"
"64","Patient Met A Hospital Worker In Scrubs And Kept Asking Questions Regarding His Health Until The Hospital Worker Had To Tell The Patient That He Doesn’t Work There","Sometimes it's hard to tell.","http://twistedsifter.com/2025/10/patient-met-a-hospital-worker-in-scrubs-and-kept-asking-questions-regarding-his-health-until-the-hospital-worker-had-to-tell-the-patient-that-he-doesnt-work-there/","Twistedsifter.com","2025-10-28 03:15:45","2025-11-03 21:24:30.825751","[""hospital""]","7.18","2025-11-03 21:24:30.825751"
"65","Daily briefing: The secret language of plants","Scientists are only now starting to understand the full role of the plant cell wall. Plus, the risks of a less-familiar form of avian influenza virus and how tides impact the development of urbanization.","https://www.nature.com/articles/d41586-025-03548-w","Nature.com","2025-10-28 00:00:00","2025-11-03 21:24:30.825751","[""virus""]","7.75","2025-11-03 21:24:30.825751"
"66","Retail Worker Is Fired For Calling In Sick Too Many Times, But He Quickly Realizes That He’s Better Off Without That Job Anyway","Getting fired for being sick is ridiculous!","http://twistedsifter.com/2025/10/retail-worker-is-fired-for-calling-in-sick-too-many-times-but-he-quickly-realizes-that-hes-better-off-without-that-job-anyway/","Twistedsifter.com","2025-10-27 21:35:18","2025-11-03 21:24:30.825751","[""ICU"",""sick""]","12.24","2025-11-03 21:24:30.825751"
"67","Germany: 500,000 birds culled as flu spreads","Dozens of cases of bird flu have been reported across the country, especially in north-eastern regions. The virus isn't particularly dangerous for humans, but could result in higher prices for poultry and eggs.","https://www.dw.com/en/germany-500000-birds-culled-as-flu-spreads/a-74516613","DW (English)","2025-10-27 18:17:00","2025-11-03 21:24:30.825751","[""virus"",""cases"",""ICU"",""germany""]","23.34","2025-11-03 21:24:30.825751"
"68","Experts Claim Risk Of Human Bird Flu Pandemic Is Rising","A minor strain of the avian influenza, H9N2, could mutate to infect humans and cause a pandemic, according to experts. They claim that this strain of the bird flu virus has adapted to human cells, but cases of person-to-person transmission haven’t been report…","https://www.shtfplan.com/headline-news/experts-claim-risk-of-human-bird-flu-pandemic-is-rising","Shtfplan.com","2025-10-27 17:30:17","2025-11-03 21:24:30.825751","[""transmission"",""virus"",""cases"",""pandemic""]","24.21","2025-11-03 21:24:30.825751"
"69","Avian flu strikes farms in B.C.'s Fraser Valley, with 7 outbreaks this month","Avian flu has broken out in at least seven locations across B.C.’s Fraser Valley this month, with six cases cropping up since Thursday, and local farmers are doing all they can to protect their flocks.","https://www.cbc.ca/news/canada/british-columbia/avian-flu-breaks-out-bc-fraser-valley-farms-9.6954509","CBC News","2025-10-27 15:46:23","2025-11-03 21:24:30.825751","[""outbreak"",""cases"",""b.c.'s"",""b.c.""]","23.31","2025-11-03 21:24:30.825751"
"70","Trump received MRI at Walter Reed. What health conditions has he been diagnosed with?","President Donald Trump speaking with reporters on Air Force One on his way to Japan revealed he received an MRI at Walter Reed earlier this month.","https://www.usatoday.com/story/news/politics/2025/10/27/donald-trump-mri-conditions/86925576007/","USA Today","2025-10-27 13:26:45","2025-11-03 21:24:30.825751","[""walter reed"",""donald trump"",""diagnosed"",""japan""]","27.58","2025-11-03 21:24:30.825751"
"71","Bird flu's comeback raises fears about readiness (Tina Reed/Axios)","Tina Reed / Axios:
Bird flu's comeback raises fears about readiness  —  Migratory birds are driving up avian flu cases across the country, reviving concerns about U.S. readiness to respond to outbreaks, especially during the government shutdown. … - But the v…","https://www.memeorandum.com/251027/p22","Memeorandum.com","2025-10-27 12:55:00","2025-11-03 21:24:30.825751","[""u.s."",""tina reed"",""tina"",""outbreak"",""cases""]","28.8","2025-11-03 21:24:30.825751"
"72","Mosquitoes Found in Iceland for the First Time amid Climate Change","Bird flu surges and a government shutdown collide, complicating efforts to track cases and protect flocks.","https://www.scientificamerican.com/podcast/episode/mosquitoes-found-in-iceland-for-the-first-time-amid-climate-change/","Scientific American","2025-10-27 10:00:00","2025-11-03 21:24:30.825751","[""cases""]","6.99","2025-11-03 21:24:30.825751"
"73","Bird flu's comeback raises fears about readiness","Data: USDA; Chart: Axios Visuals
Migratory birds are driving up avian flu cases across the country, reviving concerns about U.S. readiness to respond to outbreaks, especially during the government shutdown.
Why it matters: The most immediate concern is how th…","https://biztoc.com/x/0009b74082f5e047","Biztoc.com","2025-10-27 09:33:00","2025-11-03 21:24:30.825751","[""outbreak"",""cases"",""u.s.""]","18.62","2025-11-03 21:24:30.825751"
"74","This ‘minor’ bird flu strain has potential to spark human pandemic","Experiments suggests H9N2 has adapted to human cells but cases of person-to-person transmission haven’t been reported yet.","https://www.nature.com/articles/d41586-025-03519-1","Nature.com","2025-10-27 00:00:00","2025-11-03 21:24:30.825751","[""transmission"",""cases"",""pandemic""]","17.68","2025-11-03 21:24:30.825751"
"75","Doctors caution tourists as ‘monkey fever’ season begins","Kyasanur Forest Disease (KFD), also known as ‘monkey fever’ or Makad Taap, primarily circulates among ticks and wild animals, with monkeys being part.","https://timesofindia.indiatimes.com/city/goa/doctors-caution-tourists-as-monkey-fever-season-begins/articleshow/125039924.cms","The Times of India","2025-11-02 18:38:30","2025-11-03 21:24:30.825751","[""disease""]","7.33","2025-11-03 21:24:30.825751"
"76","West Ham stun Newcastle to record first win under Nuno Espirito Santo","West Ham won their first home game since February, and their first under new boss Nuno Espirito Santo, by beating travel sick Newcastle 3-1.","https://www.independent.ie/sport/soccer/premier-league/west-ham-stun-newcastle-to-record-first-win-under-nuno-espirito-santo/a1934985745.html","Independent.ie","2025-11-02 16:56:06","2025-11-03 21:24:30.825751","[""stun newcastle"",""west ham"",""sick""]","17.36","2025-11-03 21:24:30.825751"
"77","Super greens powder supplements sold at Sam's Club linked to salmonella outbreak","Authorities say at least 11 people have been sickened with salmonella infections linked to powder supplements sold at Sam's Club stores nationwide and online.","https://abc7ny.com/post/super-greens-powder-supplements-sold-sams-club-linked-salmonella-outbreak/18104185/","WABC-TV","2025-11-02 16:26:41","2025-11-03 21:24:30.825751","[""outbreak"",""sam's"",""infection"",""sick""]","28.18","2025-11-03 21:24:30.825751"
"78","Super greens powder supplements sold at Sam's Club linked to salmonella outbreak","Authorities say at least 11 people have been sickened with salmonella infections linked to powder supplements sold at Sam's Club stores nationwide and online.","https://abc7chicago.com/post/super-greens-powder-supplements-sold-sams-club-linked-salmonella-outbreak/18104185/","WLS-TV","2025-11-02 16:26:16","2025-11-03 21:24:30.825751","[""outbreak"",""sam's"",""infection"",""sick""]","28.18","2025-11-03 21:24:30.825751"
"79","You'll remember this face from the pandemic - now he's helping drive a critical race for the future","Sky News speaks to Lord Patrick Vallance, who regularly flanked ministers during coronavirus news conferences, about the UK's investment in new and extraordinarily powerful quantum computers.","https://news.sky.com/story/uk-joins-quantum-partnership-in-bid-to-win-race-for-national-security-13463404","Sky.com","2025-11-03 18:34:00","2025-11-04 18:40:02.910581","[""uk"",""patrick vallance"",""pandemic"",""virus"",""WHO""]","28.7","2025-11-04 18:40:02.910581"
"80","Is COVID-19 during pregnancy linked to autism? What a new study shows, and what it doesn't - CBS News","Is COVID-19 during pregnancy linked to autism? What a new study shows, and what it doesn'tCBS News Support for measles vaccination drops amid growing confusion about the disease, US poll showsCIDRAP Autism diagnosis rates higher among children born to mothers…","https://slashdot.org/firehose.pl?op=view&amp;id=179953392","Slashdot.org","2025-11-03 18:32:13","2025-11-04 18:40:02.910581","[""covid-19"",""cbs"",""disease""]","18.88","2025-11-04 18:40:02.910581"
"81","NI Public Health Bill including mandatory vaccinations scrapped","The bill was designed to deal with future public health emergencies like the coronavirus pandemic.","https://www.bbc.co.uk/news/articles/cn7eknvy48do","BBC News","2025-11-03 17:36:28","2025-11-04 18:40:02.910581","[""pandemic"",""virus""]","12.15","2025-11-04 18:40:02.910581"
"82","Successful in vitro propagation of porcine bocavirus: Demonstrating dual respiratory-enteric tropism and pathogenicity","Author summary This study overcomes the 15-year barrier to PBoV research by achieving its first successful isolation and propagation in LLC-PK1 cells, providing an essential in vitro tool. Critically, experimental infection of naïve piglets establishes PBoV a…","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013631","Plos.org","2025-11-03 14:00:00","2025-11-04 18:40:02.910581","[""infection"",""virus""]","14.32","2025-11-04 18:40:02.910581"
"83","Research to evaluate safety and impact of long COVID intervention with Ensitrelvir for National Cohort (RESILIENCE Study): A protocol for a randomized, double-blind, placebo-controlled trial","Long COVID, characterized by persistent symptoms following acute coronavirus disease (COVID-19), presents a substantial challenge to global health. Ensitrelvir fumarate, a novel oral antiviral agent, has demonstrated efficacy in treating of mild-to-moderate C…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335609","Plos.org","2025-11-03 14:00:00","2025-11-04 18:40:02.910581","[""virus"",""symptoms"",""disease""]","20.3","2025-11-04 18:40:02.910581"
"84","On campus dormitories as viral transmission sinks: Phylodynamic insights into student housing networks during the COVID-19 pandemic","Author summary University dormitories are often considered high-risk environments for disease spread due to their crowded living conditions and the inter-connectivity of individuals. This risk has led to the perception that university student housing could ac…","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013666","Plos.org","2025-11-03 14:00:00","2025-11-04 18:40:02.910581","[""transmission"",""pandemic"",""disease""]","19.71","2025-11-04 18:40:02.910581"
"85","Virome profiling of Culex tarsalis through small RNA-seq: A challenge of suboptimal samples","Author summary Mosquitoes are capable of transmitting pathogenic viruses to humans and other vertebrate hosts during feeding. However, they can also carry viruses that infect only mosquitoes, which are known as insect specific viruses (ISVs). Some ISVs are ha…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013611","Plos.org","2025-11-03 14:00:00","2025-11-04 18:40:02.910581","[""virus""]","8.78","2025-11-04 18:40:02.910581"
"86","Climate change inaction costs millions of lives each year, report warns","The 2025 Lancet Countdown on Health and Climate Change reveals that climate inaction and continued dependence on fossil fuels is resulting in an immense human cost, with millions of lives lost each year due to heat, air pollution, disease spread, and worsenin…","https://phys.org/news/2025-11-climate-inaction-millions-year.html","Phys.Org","2025-11-03 14:22:05","2025-11-04 18:40:02.910581","[""lancet"",""disease""]","13.58","2025-11-04 18:40:02.910581"
"87","Changes in haematological indices among children with sickle cell disease on hydroxyurea treatment for at least 1 year: A cohort study","Background Sickle cell disease is the 12th cause of under-five mortality in Africa, with over 81,000 deaths attributed to sickle cell disease annually. Hydroxyurea is one of the few disease-modifying therapies available for the management of sickle cell disea…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335617","Plos.org","2025-11-03 14:00:00","2025-11-04 18:40:02.910581","[""sick"",""hydroxyurea"",""disease""]","19.48","2025-11-04 18:40:02.910581"
"88","In the Late and Early 20th Centuries, Hospitals Often Featured Sun Decks Where Patients Could Bask in Natural Sunlight","Old hospitals, especially those built from the late 19th century through the mid-20th century, often had sun decks, rooftop terraces, or ope...","https://www.vintag.es/2025/11/hospital-sun-decks.html","Vintag.es","2025-11-03 09:01:00","2025-11-04 18:40:02.910581","[""hospital""]","7.88","2025-11-04 18:40:02.910581"
"89","Infectious Diseases in the Wild","A conversation struck up at a writing workshop a few weeks ago between me and a computational biologist who studies the molecular biology and population genetics of the HIV virus and other virulent diseases including Ebola, Hepatitis, and Covid. She’s what yo…","https://www.lastwordonnothing.com/2025/11/03/infectious-diseases-in-the-wild/","Lastwordonnothing.com","2025-11-03 09:00:00","2025-11-04 18:40:02.910581","[""virus"",""WHO"",""disease""]","18.71","2025-11-04 18:40:02.910581"
"90","Türkiye to identify climate-linked diseases under health action plan","Türkiye’s Health Ministry will prepare a comprehensive action plan to protect public health from the adverse effects of climate change, identifying climate-sensitive diseases, strengthening institutional capacity and coordination across sectors.","https://www.hurriyetdailynews.com/turkiye-to-identify-climate-linked-diseases-under-health-action-plan-215299","Hurriyet Daily News","2025-11-03 06:20:50","2025-11-04 18:40:02.910581","[""disease""]","8.4","2025-11-04 18:40:02.910581"
"91","SARS-CoV-2 NSP14 inhibitor exhibits potent antiviral activity and reverses NSP14-driven host modulation","C10, a potent non-nucleoside inhibitor targeting NSP14’s SAM-binding pocket, suppresses viral translation, exhibits immunostimulatory effects, and reverses NSP14-induced transcriptome alterations, offering promise for broader coronavirus treatment.","https://www.nature.com/articles/s41467-025-64674-7","Nature.com","2025-11-03 00:00:00","2025-11-04 18:40:02.910581","[""virus""]","8.78","2025-11-04 18:40:02.910581"
"92","Sick Employee Is Forced To Go To Work At Retail Store, But When She Can’t Stop Throwing Up, The Customers Complain","Some retail managers are absolute monsters.","http://twistedsifter.com/2025/11/sick-employee-is-forced-to-go-to-work-at-retail-store-but-when-she-cant-stop-throwing-up-the-customers-complain/","Twistedsifter.com","2025-11-03 10:35:46","2025-11-04 18:40:02.910581","[""sick""]","6.84","2025-11-04 18:40:02.910581"
"93","Researchers share update on devastating virus amid one of the worst outbreaks in history: 'I know less than I would normally know' - Yahoo","Researchers share update on devastating virus amid one of the worst outbreaks in history: 'I know less than I would normally know'Yahoo Bird flu outbreak confirmed in St. Louis County, other Missouri communitiesKSDK CT officials urge ‘strong biosecurity pract…","https://slashdot.org/firehose.pl?op=view&amp;id=179949144","Slashdot.org","2025-11-03 10:32:05","2025-11-04 18:40:02.910581","[""outbreak"",""virus"",""louis county"",""st."",""missouri""]","29.52","2025-11-04 18:40:02.910581"
"94","Researchers share update on devastating virus amid one of the worst outbreaks in history: 'I know less than I would normally know'","It's unlike previous outbreaks.","https://www.yahoo.com/news/articles/researchers-share-devastating-virus-amid-073000255.html","Yahoo Entertainment","2025-11-03 07:30:00","2025-11-04 18:40:02.910581","[""outbreak"",""virus""]","12.15","2025-11-04 18:40:02.910581"
"95","6 deaths, 27 illnesses tied to outbreak from prepared pasta meals","The CDC said there have been two additional deaths and seven new illnesses tied to a listeria outbreak from meals sold at major grocery chains.","https://www.cbsnews.com/news/recalled-pasta-meals-listeria-trader-joes-kroger-deaths-outbreak/","CBS News","2025-11-03 18:49:32","2025-11-04 19:00:46.001703","[""outbreak"",""CDC"",""illness""]","17.88","2025-11-04 19:00:46.001703"
"96","New Bat Coronavirus Shares a Feature That Helped Covid-19 Infect Humans","The newly discovered BRZ batCoV shares a key feature of SARS-CoV-2, one that could allow it or similar viruses to infect human cells.","https://gizmodo.com/new-bat-coronavirus-shares-a-feature-that-helped-covid-19-infect-humans-2000680728","Gizmodo.com","2025-11-03 19:30:56","2025-11-04 19:33:11.169372","[""virus""]","7.31","2025-11-04 19:33:11.169372"
"97","Manitoba hospital capacity boosted by 323 beds as respiratory virus season arrives","Flu season is knocking on Manitoba's door and provincial officials say the health-care system is more ready than it has been in years.","https://www.cbc.ca/news/canada/manitoba/respiratory-virus-hospital-capacity-9.6964675","CBC News","2025-11-03 19:11:06","2025-11-04 19:33:11.169372","[""virus"",""manitoba"",""manitoba hospital capacity"",""hospital""]","22.7","2025-11-04 19:33:11.169372"
"98","Judges hear cases on Trump administration's National Guard deployments","Courts in Tennessee and West Virginia are hearing cases on Monday over the Trump administration's National Guard deployments. CBS News' Shanelle Kaul has more details.","https://www.cbsnews.com/video/judges-hear-cases-on-trump-administrations-national-guard-deployments/","CBS News","2025-11-03 19:15:00","2025-11-04 19:33:11.169372","[""tennessee"",""shanelle kaul"",""cbs news'"",""cases"",""west virginia""]","27.64","2025-11-04 19:33:11.169372"
"99","6 dead, 25 hospitalized in nationwide listeria outbreak linked to precooked pasta meals","Six people have died and 25 people have been hospitalized due to a listeria outbreak linked to recalled precooked pasta meals sold at Trader Joe's, Walmart and Kroger.","https://www.nbcnews.com/news/us-news/6-dead-25-hospitalized-nationwide-listeria-outbreak-linked-precooked-p-rcna241640","NBC News","2025-11-03 19:10:55","2025-11-04 19:33:11.169372","[""outbreak"",""joe's"",""hospital""]","18.08","2025-11-04 19:33:11.169372"
"100","Japan confirms third bird flu outbreak of season","A total of 630,000 egg-laying chickens at a poultry farm in Niigata will be culled.","https://www.japantimes.co.jp/news/2025/11/04/japan/science-health/bird-flu-niigata/","The Japan Times","2025-11-04 03:17:00","2025-11-05 04:17:40.198203","[""outbreak"",""japan""]","11.58","2025-11-05 04:17:40.198203"
"101","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids6abc.com","https://6abc.com/post/hand-foot-mouth-disease-rise-certain-areas-doctor-explains-symptoms-contagious-risk-adults-kids/18110040/","WPVI-TV","2025-11-04 02:23:07","2025-11-05 04:17:40.198203","[""disease"",""symptoms"",""kids6abc.com""]","18.12","2025-11-05 04:17:40.198203"
"102","Simple saliva test catches heart failure before you know you have it","In a breakthrough for diagnostics, scientists have created an easy and effective test that identifies a heart failure biomarker in saliva, opening the door to more rapid and accessible life-saving medical interventions for the disease.Continue ReadingCategory…","https://newatlas.com/heart-disease/simple-saliva-test-heart-failure/","New Atlas","2025-11-04 02:03:00","2025-11-05 04:17:40.198203","[""disease"",""disease.continue""]","13.55","2025-11-05 04:17:40.198203"
"103","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kidsabc30.com","https://abc30.com/post/hand-foot-mouth-disease-rise-certain-areas-doctor-explains-symptoms-contagious-risk-adults-kids/18110040/","KFSN-TV","2025-11-04 02:00:38","2025-11-05 04:17:40.198203","[""disease"",""symptoms"",""kidsabc30.com""]","18.13","2025-11-05 04:17:40.198203"
"104","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kidsabc7news.com","https://abc7news.com/post/hand-foot-mouth-disease-rise-certain-areas-doctor-explains-symptoms-contagious-risk-adults-kids/18110040/","KGO-TV","2025-11-04 01:56:14","2025-11-05 04:17:40.198203","[""disease"",""symptoms""]","13.16","2025-11-05 04:17:40.198203"
"105","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kidsabc13.com","https://abc13.com/post/hand-foot-mouth-disease-rise-certain-areas-doctor-explains-symptoms-contagious-risk-adults-kids/18110040/","KTRK-TV","2025-11-04 01:56:04","2025-11-05 04:17:40.198203","[""disease"",""symptoms""]","13.13","2025-11-05 04:17:40.198203"
"106","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kids","Hand, foot and mouth disease on rise in certain areas: Doctor explains symptoms, if it's contagious, risk for adults and kidsabc7chicago.com","https://abc7chicago.com/post/hand-foot-mouth-disease-rise-certain-areas-doctor-explains-symptoms-contagious-risk-adults-kids/18110040/","WLS-TV","2025-11-04 01:54:08","2025-11-05 04:17:40.198203","[""disease"",""symptoms""]","13.19","2025-11-05 04:17:40.198203"
"107","Maharaj: Don’t celebrate while health system crumbles | Fiji Sun","Opposition MP Alvick Maharaj says Government should fix collapsing hospitals and staff shortages instead of celebrating disease elimination.","https://fijisun.com.fj/news/nation/maharaj-dont-celebrate-while-health-system-crumbles","Fiji Sun Online","2025-11-04 01:15:14","2025-11-05 04:17:40.198203","[""disease"",""hospital""]","12.58","2025-11-05 04:17:40.198203"
"108","Exploring the contribution of risk factors on major illness: a microsimulation study in England, 2023-2043","Burden of major disease is projected to&nbsp;increase in England and many other countries. Here the authors model the impact of reducing eight known risk factors for disease burden, such as BMI and smoking, between 2023-2043 in England and report that reducti…","https://www.nature.com/articles/s41467-025-64820-1","Nature.com","2025-11-04 00:00:00","2025-11-05 04:17:40.198203","[""disease"",""illness"",""england"",""bmi""]","34.2","2025-11-05 04:17:40.198203"
"109","Catching COVID-19 or the Flu Could Triple Your Risk of Stroke and Heart Attack","Learn more about the ways viral infections can impact people with and without chronic diseases.","https://www.discovermagazine.com/catching-covid-19-or-the-flu-could-triple-your-risk-of-stroke-and-heart-attack-48215","Discover Magazine","2025-11-03 21:25:00","2025-11-05 04:17:40.198203","[""infection"",""disease""]","12.27","2025-11-05 04:17:40.198203"
"110","Bird flu virus found surviving in certain cheeses","A dangerous type of bird flu virus (called H5N1) continues to circulate among dairy cows in the US. The virus targets the mammary gland's milk-secreting epithelial cells, causing painful infections in the udder. It also leads to large amounts of virus being r…","https://newatlas.com/infectious-diseases/bird-flu-virus-cheese/","New Atlas","2025-11-03 21:03:00","2025-11-05 04:17:40.198203","[""infection"",""us"",""virus""]","18.63","2025-11-05 04:17:40.198203"
"111","Poultry Culled Over “Suspected” Bird Flu Case","Mass amounts of poultry are once again being culled over suspected bird flu cases. These cases were not confirmed, and the culling measures are being slated as ""precautionary.""","https://www.shtfplan.com/headline-news/poultry-culled-over-suspected-bird-flu-case","Shtfplan.com","2025-11-03 21:00:05","2025-11-05 04:17:40.198203","[""cases""]","7.48","2025-11-05 04:17:40.198203"
"112","Florida Democrats highlight toll of rising health costs","“That $14 premium is saving my life,” said Skylar Trujillo, a Spring Hill mother of four who was diagnosed with stage 3 cancer. “For my premium to go up … to even $50 a mont…","https://www.orlandosentinel.com/2025/11/03/cancer-is-not-red-or-blue-florida-democrats-spotlight-human-toll-of-rising-insurance-costs/","Orlando Sentinel","2025-11-03 20:45:10","2025-11-05 04:17:40.198203","[""diagnosed"",""florida"",""WHO""]","17.83","2025-11-05 04:17:40.198203"
"113","Knowledge, attitude, and practice of stroke and its risk factors and warning symptoms in Ethiopia","Background Stroke is a leading global health issue, accounting for 12% of global deaths, with low- and middle-income countries experiencing the greatest burden. In our country, stroke accounts for 6.23% of deaths, with an age-adjusted death rate of 89.82 per …","https://bmcneurol.biomedcentral.com/articles/10.1186/s12883-025-04479-9","Biomedcentral.com","2025-11-04 00:00:00","2025-11-05 04:17:40.198203","[""symptoms"",""ethiopia""]","13.84","2025-11-05 04:17:40.198203"
"128","Further bird flu outbreak found on turkey farm, as Fota Wildlife Park to remain closed until at least the end of November","The bird flu outbreak offers no threat to turkey prices in the run-up to Christmas, a ministerial adviser has said.","https://www.independent.ie/irish-news/further-bird-flu-outbreak-found-on-turkey-farm-as-fota-wildlife-park-to-remain-closed-until-at-least-the-end-of-november/a499259600.html","Independent.ie","2025-11-04 16:20:57","2025-11-05 16:24:40.479103","[""fota"",""outbreak""]","12.63","2025-11-05 16:24:40.479103"
"129","Fota Wildlife Park to remain closed until at least the end of November over bird flu outbreak","Fota Wildlife Park will remain closed to the public until at least the end of November after a bird flu outbreak, it has been confirmed.","https://www.independent.ie/irish-news/fota-wildlife-park-to-remain-closed-until-at-least-the-end-of-november-over-bird-flu-outbreak/a499259600.html","Independent.ie","2025-11-04 16:20:57","2025-11-05 16:24:40.479103","[""fota"",""outbreak""]","17.56","2025-11-05 16:24:40.479103"
"130","Further bird flu outbreak found on Carlow farm, as Fota Wildlife Park to remain closed until at least the end of November","A further outbreak of bird flu has been announced in a commercial turkey flock in Co Carlow.","https://www.independent.ie/irish-news/further-bird-flu-outbreak-found-on-carlow-farm-as-fota-wildlife-park-to-remain-closed-until-at-least-the-end-of-november/a499259600.html","Independent.ie","2025-11-04 16:20:57","2025-11-05 16:24:40.479103","[""fota"",""outbreak""]","12.4","2025-11-05 16:24:40.479103"
"131","Not All Bats Are Viral Villains, Study Finds","In a discovery that may change how we think about disease origins, researchers at the University of Oklahoma have found that only certain bat species","https://scienceblog.com/not-all-bats-are-viral-villains-study-finds/","ScienceBlog.com","2025-11-04 16:15:37","2025-11-05 16:24:40.479103","[""disease"",""the university of oklahoma""]","12.2","2025-11-05 16:24:40.479103"
"132","Fota Wildlife Park to remain closed until the end of November as 73 birds euthanised","The Park said its bird population is currently testing negative for the disease.","https://www.thejournal.ie/fota-wildlife-park-remain-closed-73-birds-euthanised-bird-flu-6864549-Nov2025/","TheJournal.ie","2025-11-04 15:47:17","2025-11-05 16:24:40.479103","[""fota"",""disease""]","11.91","2025-11-05 16:24:40.479103"
"133","Say it ain't so: Air Canada Aeroplan points will now expire (again)","Aeroplan had paused points expiration during the coronavirus pandemic, but says it will again be allowing points to expire.","https://thepointsguy.com/news/aeroplan-resumes-points-expiration/","The Points Guy","2025-11-04 14:50:37","2025-11-05 16:24:40.479103","[""virus"",""air canada aeroplan points"",""pandemic"",""aeroplan""]","22.44","2025-11-05 16:24:40.479103"
"134","Direct Oral Anticoagulants (DOACs) Device Market Report 2025-2029 and 2034: Market Set for Strong Growth Driven by Cardiovascular Disease Surge and Personalized Care Adoption","Key opportunities in the DOACs device market include rising personalized medicine adoption, home-based management preference, rapid diagnostics demand, and emerging market infrastructure. Innovations in smart sensor integration, point-of-care testing, and dev…","https://www.globenewswire.com/news-release/2025/11/04/3180502/28124/en/Direct-Oral-Anticoagulants-DOACs-Device-Market-Report-2025-2029-and-2034-Market-Set-for-Strong-Growth-Driven-by-Cardiovascular-Disease-Surge-and-Personalized-Care-Adoption.html","GlobeNewswire","2025-11-04 14:49:00","2025-11-05 16:24:40.479103","[""disease""]","9.61","2025-11-05 16:24:40.479103"
"135","Hyperlipidemia Drugs Market Report 2025: $24.74 Industry Led by Pfizer, Merck & AbbVie, With Asia-Pacific Poised for Strong Growth Amid Trade-Driven Supply Chain Shifts - Global Forecast to 2034","The hyperlipidemia drugs market is growing due to rising cardiovascular disease prevalence, increasing cholesterol management awareness, and aging populations. Opportunities lie in personalized and combination therapies, digital health integration, non-statin…","https://www.globenewswire.com/news-release/2025/11/04/3180500/28124/en/Hyperlipidemia-Drugs-Market-Report-2025-24-74-Industry-Led-by-Pfizer-Merck-AbbVie-With-Asia-Pacific-Poised-for-Strong-Growth-Amid-Trade-Driven-Supply-Chain-Shifts-Global-Forecast-t.html","GlobeNewswire","2025-11-04 14:45:00","2025-11-05 16:24:40.479103","[""disease""]","9.81","2025-11-05 16:24:40.479103"
"136","Age-related disparities in clinical characteristics and outcomes of patients with severe fever with thrombocytopenia syndrome","Author summary We reported the differences in the clinical characteristics, including demographics, comorbidities, clinical symptoms, laboratory test results, complications, and treatment in severe fever with thrombocytopenia syndrome (SFTS) patients across f…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013694","Plos.org","2025-11-04 14:00:00","2025-11-05 16:24:40.479103","[""symptoms""]","9.12","2025-11-05 16:24:40.479103"
"137","Occupational risk of COVID-19 related hospital admission in Skåne, Sweden: A register-based cohort study","Purpose Given the paucity of data regarding workplace risk of COVID-19, particularly from countries with limited lockdowns, we aimed to quantify the occupational risks of COVID-19-related hospital admission among workers in Sweden.   Methods We identified 607…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335662","Plos.org","2025-11-04 14:00:00","2025-11-05 16:24:40.479103","[""hospital"",""sweden"",""skåne"",""ICU""]","24.18","2025-11-05 16:24:40.479103"
